line,type,origin
Bangsa,Cultivar,Korea
Cheongja,Cultivar,Korea
Daeheug,Cultivar,Korea
Daepung,Cultivar,Korea
Daewon,Cultivar,Korea
Danbaeg,Cultivar,Korea
Galchae,Cultivar,Korea
Geomjeongol,Landrace,Korea
Hannam,Cultivar,Korea
Heugcheong,Landrace,Korea
Hwangkeum,Cultivar,Korea
Iksan10,Cultivar,Korea
Ilpumgeomjeong,Cultivar,Korea
Pungsannamul,Cultivar,Korea
Pungwon,Cultivar,Korea
Pureun,Cultivar,Korea
Saedanbaek,Cultivar,Korea
Shinhwa,Cultivar,Korea
Sinpaldal,Cultivar,Korea
Socheong2,Cultivar,Korea
Somyeong,Cultivar,Korea
Sowon,Cultivar,Korea
Taekwang,Cultivar,Korea
Uram,Cultivar,Korea
Yonpoong,Cultivar,Korea
Black_hawk,Cultivar,USA
Bokwang,Cultivar,Korea
Cheongja2,Cultivar,Korea
Cheongja3,Cultivar,Korea
Clark,Cultivar,USA
Daemang,Cultivar,Korea
Danmi,Cultivar,Korea
Danmi2,Cultivar,Korea
Duyou,Cultivar,Korea
Fiskeby_840_7_3,Cultivar,Sweden
Galmi,Landrace,Korea
Haman,Landrace,Korea
Hojang,Cultivar,Korea
Hoseo,Cultivar,Korea
Jonam,Cultivar,Korea
Josaengseori,Cultivar,Korea
Keonol,Landrace,Korea
Kwangkyo,Cultivar,Korea
KwangkyoV1,Cultivar,Korea
L62579,Cultivar,USA
L6753,Cultivar,USA
Mapple_presto,Cultivar,Canada
PI408105A,Landrace,Korea
PI96983,Landrace,Korea
Pureun_3,Cultivar,Korea
Seoritae,Landrace,Korea
Sobaeknamul,Cultivar,Korea
Socheong,Cultivar,Korea
Soho,Cultivar,Korea
Williams82K,Cultivar,USA
YWS16,Wild,Korea
YWS67A,Wild,Korea
YWS67B,Wild,Korea
YWS74,Wild,Korea
YWS80A,Wild,Korea
YWS80B,Wild,Korea
YWS93,Wild,Korea
YWS94,Wild,Korea
YWS125,Wild,Korea
YWS151,Wild,Korea
YWS269,Wild,Korea
YWS707,Wild,Korea
PI424002,Wild,Russia
IT178548,Wild,Korea
IT182919,Wild,Korea
IT162825,Wild,NA
IT178480,Wild,Korea
IT182819,Wild,Korea
IT182840,Wild,Korea
IT182848,Wild,Korea
IT182869,Wild,Korea
IT182932,Wild,Korea
PI339871B,Wild,Korea
PI342620A,Wild,Russia
PI424032,Wild,Korea
PI458537A,Wild,China
PI507800B,Wild,Russia
PI507822,Wild,Russia
PI507839,Wild,Russia
PI578346B,Wild,Russia
YWS91,Wild,Korea
YWS101,Wild,Korea
YWS106,Wild,Korea
IT184207,Wild,Korea
YWS237,Wild,Korea
YWS319,Wild,Korea
YWS617,Wild,Korea
YWS712,Wild,Korea
YWS714,Wild,Korea
YWS864,Wild,Korea
YWS951,Wild,Korea
YWS991,Wild,Korea
YWS1027,Wild,Korea
YWS1099,Wild,Korea
YWS1211,Wild,Korea
YWS1270,Wild,Korea
YWS1393,Wild,Korea
B01042,Wild,Japan
B01164,Wild,Japan
B02039,Wild,Japan
B02206,Wild,Japan
B03016,Wild,Japan
B04057,Wild,Japan
B04118,Wild,Japan
B04134,Wild,Japan
B05049,Wild,Japan
B06033,Wild,Japan
B06103,Wild,Japan
B07126,Wild,Japan
B08038,Wild,Japan
B08062,Wild,Japan
B09115,Wild,Japan
PI378689,Wild,Japan
PI549048,Wild,China
PI522180,Wild,China
PI483468B,Wild,China
PI464934,Wild,China
PI464937B,Wild,China
PI532449,Wild,China
PI464928,Wild,China
PI447003B,Wild,China
PI468400B,Wild,China
PI483465,Wild,China
PI597457A,Wild,China
PI597459D,Wild,China
PI407305,Wild,China
PI597455,Wild,China
PI468396A,Wild,China
PI407300,Wild,China
